sample_name,frame_name,region_label,numerator,denominator,percent,phenotype_label,measured,name,label,minimum_cells,TP53,denominator_coverage_percent
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,1,51,1.9607843137254901,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,0,51,0.0,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,0,51,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,0,51,0.0,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,1,51,1.9607843137254901,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,0,51,0.0,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[15916,37955]",Any,0,1,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.9545199326221224
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,2,29,6.896551724137931,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,2,29,6.896551724137931,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,0,29,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,0,29,0.0,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,2,29,6.896551724137931,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,0,29,0.0,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[19060,40181]",Any,0,2,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.5896705978039853
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,1,20,5.0,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,4,20,20.0,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,0,20,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,0,20,0.0,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,1,20,5.0,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,0,20,0.0,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18384,38201]",Any,0,1,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.36036036036036034
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,1,41,2.4390243902439024,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,1,41,2.4390243902439024,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,0,41,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,0,41,0.0,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,1,41,2.4390243902439024,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,0,41,0.0,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[14827,38349]",Any,0,1,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.6828780812791473
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,253,1025,24.682926829268293,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,141,1025,13.75609756097561,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,19,1025,1.853658536585366,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,20,1025,1.951219512195122,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,233,1025,22.73170731707317,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,35,1025,3.4146341463414633,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10592,46098]",Any,20,253,7.905138339920948,CD8+PD1+ % of CD8+,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.937018806007826
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,47,612,7.6797385620915035,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,27,612,4.411764705882353,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,1,612,0.16339869281045752,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,2,612,0.32679738562091504,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,45,612,7.352941176470588,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,6,612,0.9803921568627451,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[16626,46541]",Any,2,47,4.25531914893617,CD8+PD1+ % of CD8+,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,10.637928037545628
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,133,928,14.331896551724139,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,108,928,11.637931034482758,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,17,928,1.831896551724138,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,6,928,0.646551724137931,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,127,928,13.685344827586206,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,22,928,2.3706896551724137,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9192,46877]",Any,6,133,4.511278195488722,CD8+PD1+ % of CD8+,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,12.030075187969924
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,93,2615,3.5564053537284894,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,38,2615,1.4531548757170172,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,6,2615,0.2294455066921606,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,1,2615,0.03824091778202677,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,92,2615,3.5181644359464626,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,6,2615,0.2294455066921606,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[10321,47356]",Any,1,93,1.075268817204301,CD8+PD1+ % of CD8+,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,48.15837937384899
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,132,704,18.75,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,65,704,9.232954545454545,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,9,704,1.2784090909090908,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,10,704,1.4204545454545454,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,122,704,17.329545454545453,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,27,704,3.835227272727273,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[9087,45667]",Any,10,132,7.575757575757576,CD8+PD1+ % of CD8+,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,9.242483917552843
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,271,2213,12.245820153637595,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,134,2213,6.055128784455491,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,35,2213,1.5815634884771803,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,5,2213,0.22593764121102575,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,266,2213,12.01988251242657,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,18,2213,0.8133755083596927,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS006bLT_FT,"HTAPP_NCS006bLT_FT_Scan1_[13735,48371]",Any,5,271,1.845018450184502,CD8+PD1+ % of CD8+,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,23.66591808362742
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,6,85,7.0588235294117645,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,0,85,0.0,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,0,85,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,3,85,3.5294117647058822,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,3,85,3.5294117647058822,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,3,85,3.5294117647058822,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,48666]",Any,3,6,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.4762070163251129
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,2,29,6.896551724137931,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,0,29,0.0,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,0,29,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,1,29,3.4482758620689653,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,1,29,3.4482758620689653,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,1,29,3.4482758620689653,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[18061,48631]",Any,1,2,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 mutant,0.6565542223228436
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,4,66,6.0606060606060606,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,1,66,1.5151515151515151,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,1,66,1.5151515151515151,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,1,66,1.5151515151515151,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,3,66,4.545454545454546,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,1,66,1.5151515151515151,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[16238,49360]",Any,1,4,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 mutant,1.166283795723626
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,6,106,5.660377358490566,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,1,106,0.9433962264150944,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,0,106,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,0,106,0.0,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,6,106,5.660377358490566,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,0,106,0.0,PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS011bLT_FT_,"HTAPP_NCS011bLT_FT__Scan1_[9578,49862]",Any,0,6,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 mutant,2.055060100814269
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,11,,CD8+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,11,,OTHER+CD163+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,11,,CYTOK-FOXP3+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,11,,CD8+PD1+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,11,,CD8+PD1- % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,11,,PD1+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[17092,39272]",Any,0,0,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.21488571986716157
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,0,5,,CD8+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,1,5,,OTHER+CD163+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,0,5,,CYTOK-FOXP3+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,0,5,,CD8+PD1+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,0,5,,CD8+PD1- % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,0,5,,PD1+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NCS004bLT_FT,"HTAPP_NCS004bLT_FT_Scan1_[18135,39945]",Any,0,0,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.09373828271466067
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,0,11,,CD8+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,2,11,,OTHER+CD163+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,0,11,,CYTOK-FOXP3+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,0,11,,CD8+PD1+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,0,11,,CD8+PD1- % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,0,11,,PD1+ % of Total,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[10406,42759]",Any,0,0,,CD8+PD1+ % of CD8+,False,Direct contact,CYTOK PDL1+,20,TP53 WT,0.25293170843872154
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[14724,41497]",Any,0,22,0.0,CD8+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.4158790170132325
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[14724,41497]",Any,0,22,0.0,OTHER+CD163+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.4158790170132325
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[14724,41497]",Any,0,22,0.0,CYTOK-FOXP3+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.4158790170132325
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[14724,41497]",Any,0,22,0.0,CD8+PD1+ % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.4158790170132325
HTAPP_NSC001bLT_FT,"HTAPP_NSC001bLT_FT_Scan1_[14724,41497]",Any,0,22,0.0,CD8+PD1- % of Total,True,Direct contact,CYTOK PDL1+,20,TP53 WT,0.4158790170132325
